longitude,latitude,observed age,observed std,predicted age,method
305.34204381928134,570.8781733834,139.0,10.0,117.78497895647415,AFT
354.15123449424664,546.9034786882999,60.0,5.0,58.36977631351052,AFT
404.86397419252637,547.8251883599999,82.0,6.0,79.34729733046484,AFT
412.195939114255,545.5209125140997,68.0,6.0,69.56155695484094,AFT
355.25102746480417,545.0600571226996,133.0,11.0,102.34408633528234,AFT
386.9006654373941,551.2816026843998,68.0,5.0,69.49362961509786,AFT
302.5541580845964,572.6979129636003,123.0,9.0,118.9728939735616,AFT
371.6286640625901,306.5404023431002,59.0,6.0,62.27114845356722,AFT
413.43591078895014,290.26906394699967,53.0,4.0,51.49330185042685,AFT
308.3979926004815,568.7888431657998,140.0,10.0,114.97754511351904,AFT
378.1023128344235,548.0556160557003,54.0,6.0,52.83594452299364,AFT
401.0749420520285,294.2555418595999,48.0,6.0,49.57775797845982,AFT
303.6416125008683,572.0259619053999,122.0,10.0,118.59860342550652,AFT
306.3757866349833,570.0084965247001,134.0,12.0,116.64076669835492,AFT
311.7756188052024,565.1493651165001,137.0,11.0,109.15196884942483,AFT
432.6032273381248,533.9227229416003,48.0,4.0,46.55303732761847,AFT
419.1310109269539,297.50980931660007,31.0,5.0,30.921133403563275,AFT
433.17461906983914,301.25221744770005,112.0,12.0,110.03961699745139,AFT
419.51697964264787,296.97827463199974,33.0,3.0,29.746555003672185,AFT
470.1201307058352,601.1050999999997,41.8,2.8,42.13547678633082,AFT
451.435529158324,601.1495440000003,46.2,2.8,46.01949644141201,AFT
451.5504297354847,634.0269929999998,98.4,5.2,99.47273126229145,AFT
471.21610544182926,606.2828260000002,46.0,2.0,46.0356172758393,AFT
472.83355202801374,615.3938460000003,47.1,1.8,47.32855269084606,AFT
472.0911175294376,614.4938550000004,51.9,1.9,51.141573502545796,AFT
501.39076470540675,621.3937859999997,49.1,1.9,48.009652223577675,AFT
465.99254843398654,637.3491819999996,108.7,5.4,97.87556996807486,AFT
472.17950258879114,610.6716709999998,44.2,2.2,44.6260104819329,AFT
49.48581365834709,68.44375999999995,21.0,2.0,18.43151087626906,AFT
48.786095658955574,69.35115870370011,31.0,2.0,19.253405141009736,AFT
50.31073793281864,67.17525379629966,32.0,3.0,19.801695548812674,AFT
47.39648807877456,72.19063586420012,34.0,3.0,19.65936750022025,AFT
48.22878366719699,70.76472456790017,27.0,2.0,18.895854484742966,AFT
47.899787960762914,71.36657077159965,29.0,3.0,19.04601648809748,AFT
345.1722051529426,642.5072415300001,66.7,4.49,19.66723102558594,AFT
346.23857089405357,641.2534762899998,73.63,4.16,19.856388553509078,AFT
347.7766476969385,640.8820355599996,109.29,8.25,19.802113304853812,AFT
348.7309411827872,639.9639336299997,131.07,9.81,25.129857426291853,AFT
349.87261099446755,639.4333833800002,133.47,8.17,26.68030263820118,AFT
350.1715292652042,641.4094747299998,139.11,9.38,26.957921051066158,AFT
403.501217993377,620.01591089,134.0,15.0,97.25144388386148,AFT
405.30701314104607,619.7740244199997,137.0,19.0,119.54220816218877,AFT
407.27092915990033,619.6322480599999,87.0,7.1,119.83283853055742,AFT
410.15360787074206,621.5836729900003,75.7,4.9,84.57165699782317,AFT
408.4338997708841,630.2070312,82.6,4.3,85.87014034214175,AFT
406.06898073774045,634.8229850400002,92.4,4.6,93.26388213371999,AFT
51.64928546421119,60.21976779630008,56.5,3.5,50.21148720285917,AFT
37.75220207272267,69.86411579629971,27.9,1.6,21.72437626800598,AFT
47.46425290378153,60.093843499999885,49.5,2.4,49.39531977548903,AFT
43.718193579142756,62.499375,43.6,2.1,47.118485657757155,AFT
37.573964762029526,63.816028500000286,49.4,3.4,49.74333738525581,AFT
92.3476532359101,93.20277129629999,65.0,5.0,41.10734956236496,AFT
83.75957752764937,104.68413870369987,34.0,2.0,22.613057910252138,AFT
84.6434281211934,111.48036629629964,30.0,4.1,21.245842669357472,AFT
101.12724169078092,239.4111858641996,38.0,4.0,33.791237473402454,AFT
102.69852476046458,238.57786086420037,36.0,3.0,32.04354141027152,AFT
100.58711175456065,239.8741445679,45.0,4.0,37.45264494864924,AFT
101.02903705133204,239.68896086420014,38.0,3.0,34.26035998511841,AFT
194.06413160188967,318.0764492036997,33.3,1.6,32.85327166684159,AFT
196.87330045886716,414.11252549999983,33.2,1.5,34.25261196854189,AFT
153.15657407170926,261.2362764999997,31.0,1.5,29.379595279069715,AFT
197.03828884916337,483.67108879629967,43.3,1.6,42.70988604784508,AFT
288.9469600107784,536.2427852963001,28.7,1.2,29.087939402603347,AFT
251.16234713679046,537.6538822963004,36.4,1.6,36.26466635208287,AFT
190.3769985963209,432.9524604321002,36.6,1.8,44.30340676379895,AFT
306.8287335486575,541.7723599999997,39.9,1.6,39.57489029427781,AFT
168.31461175098258,332.3911204999996,34.9,2.8,34.91284660528453,AFT
175.50621235994998,348.7156483641997,36.4,1.7,36.16677207722846,AFT
285.0432924482985,537.5872162962997,28.6,2.5,28.799185030208008,AFT
141.775530487851,299.0284907962997,32.4,2.3,29.85482548374616,AFT
175.65057167739423,347.7724477963002,38.9,2.2,37.8801394922649,AFT
259.999385880241,567.0005032716001,31.0,3.0,18.759359456665145,AFT
187.91645576746157,584.1299608642003,40.0,3.0,39.929495043551725,AFT
179.49532175930835,617.7716000000003,61.0,5.0,48.626194146403506,AFT
180.91930228907268,617.7407358641997,65.0,6.0,65.51166911499294,AFT
167.48968747650977,436.5079804320998,21.0,2.0,29.662592972856416,AFT
254.9663428678367,436.29193370370035,20.0,2.0,19.28274266900711,AFT
149.02702965154384,438.3906782716003,17.0,2.0,18.16694198069625,AFT
207.41027556439755,475.3347532715998,67.0,6.0,14.407430835386913,AFT
207.0665549070738,475.1804337036997,69.0,5.0,14.045671275633405,AFT
206.7228342497513,474.5940195678997,15.0,2.0,13.932524763406896,AFT
262.94555157921724,446.56960870369966,41.0,4.0,38.669348519923005,AFT
264.88510867571387,446.1683782716003,37.0,4.0,40.147738263426604,AFT
211.4367011358156,418.51433370369995,15.0,1.0,16.031627775319844,AFT
210.25823662392617,307.18828586420034,15.0,2.0,14.462677816094718,AFT
261.0796457526816,567.3708695678998,29.0,2.0,19.066799703214883,AFT
260.31855316807554,567.0622304321003,30.0,3.0,18.838212911001328,AFT
178.24320597745927,618.5431967284001,48.0,4.0,49.98873042654078,AFT
151.62948353170296,438.7919087036996,24.0,2.0,48.57361671651482,AFT
