sample,latitude,longitude,elevation,age,std,method,reference
2011NW18,37.44555556,110.6861111,787,17,2,AFT,Li et al. (2015)
2011NW22,37.77805556,111.3466667,1837,67,6,AFT,Li et al. (2015)
2011NW23,37.77666667,111.3427778,1726,69,5,AFT,Li et al. (2015)
2011NW24,37.77138889,111.3388889,1636,15,2,AFT,Li et al. (2015)
2011NW26,37.51916667,111.975,927,41,4,AFT,Li et al. (2015)
2011NW27,37.51555556,111.9969444,856,37,4,AFT,Li et al. (2015)
2011NW28,37.26666667,111.3922222,1544,15,1,AFT,Li et al. (2015)
2011NW29,36.26472222,111.3788889,1175,15,2,AFT,Li et al. (2015)
2011NW02,38.60638889,111.9538889,1551,29,2,AFT,Li et al. (2015)
2011NW03,38.60361111,111.9452778,1590,30,3,AFT,Li et al. (2015)
2011NW13,39.06694444,111.0166667,1038,48,4,AFT,Li et al. (2015)
2011NW19,37.44916667,110.7155556,791,24,2,AFT,Li et al. (2015)
2011NW14,39.07861111,111.6613889,1029,49,4,AFT,Li et al. (2015)
2011NW21,37.77861111,111.3505556,1935,53,4,AFT,Li et al. (2015)
2011NW07,38.60222222,111.9191667,1566,28,2,AFT,Li et al. (2015)
2011NW01,38.59611111,111.9744444,1519,23,2,AFT,Li et al. (2015)
2011NW05,38.60611111,111.9294444,1572,18,1,AFT,Li et al. (2015)
2011NW08,38.92194444,111.1505556,943,32,3,AFT,Li et al. (2015)
YQ-06,40.70083333,116.3872222,457,82.6,9.6,AFT,"Li et al., (2010)"
YQ-04,40.67138889,116.3133333,491,85.7,8.8,AFT,"Li et al., (2010)"
YQ-07,40.70194444,116.3877778,486,64.5,7.1,AFT,"Li et al., (2010)"
YQ-02,40.66861111,116.2425,832,81.7,16,AFT,"Li et al., (2010)"
YQ-08,40.70111111,116.3883333,489,62.4,6.9,AFT,"Li et al., (2010)"
YQ-03,40.66333333,116.2944444,489,76,8,AFT,"Li et al., (2010)"
